evaluations raw_y evaporation_rate
1 2373.0000000000 1.0000000000
55 2413.0000000000 1.0000000000
60 2486.0000000000 1.0000000000
72 2530.0000000000 1.0000000000
115 2579.0000000000 1.0000000000
120 2598.0000000000 1.0000000000
137 2601.0000000000 1.0000000000
151 2605.0000000000 1.0000000000
155 2696.0000000000 1.0000000000
195 2750.0000000000 1.0000000000
202 2800.0000000000 1.0000000000
238 2884.0000000000 1.0000000000
296 2978.0000000000 1.0000000000
306 2989.0000000000 1.0000000000
346 3050.0000000000 1.0000000000
395 3052.0000000000 1.0000000000
440 3109.0000000000 1.0000000000
467 3133.0000000000 1.0000000000
468 3143.0000000000 1.0000000000
486 3173.0000000000 1.0000000000
491 3212.0000000000 1.0000000000
525 3283.0000000000 1.0000000000
577 3381.0000000000 1.0000000000
592 3467.0000000000 1.0000000000
642 3472.0000000000 1.0000000000
643 3494.0000000000 1.0000000000
644 3522.0000000000 1.0000000000
726 3564.0000000000 1.0000000000
755 3642.0000000000 1.0000000000
787 3679.0000000000 1.0000000000
853 3724.0000000000 1.0000000000
921 3784.0000000000 1.0000000000
925 3859.0000000000 1.0000000000
1163 3918.0000000000 1.0000000000
1418 3969.0000000000 1.0000000000
1526 4066.0000000000 1.0000000000
1609 4135.0000000000 1.0000000000
1621 4222.0000000000 1.0000000000
1743 4230.0000000000 1.0000000000
1747 4236.0000000000 1.0000000000
1756 4326.0000000000 1.0000000000
1902 4402.0000000000 1.0000000000
1915 4454.0000000000 1.0000000000
1927 4497.0000000000 1.0000000000
1994 4585.0000000000 1.0000000000
2004 4612.0000000000 1.0000000000
2047 4691.0000000000 1.0000000000
2120 4756.0000000000 1.0000000000
2216 4809.0000000000 1.0000000000
2273 4883.0000000000 1.0000000000
2300 4909.0000000000 1.0000000000
2354 4938.0000000000 1.0000000000
2440 4955.0000000000 1.0000000000
2492 5003.0000000000 1.0000000000
7486 5004.0000000000 1.0000000000
10804 5050.0000000000 1.0000000000
evaluations raw_y evaporation_rate
1 2822.0000000000 1.0000000000
31 2876.0000000000 1.0000000000
38 2908.0000000000 1.0000000000
71 2912.0000000000 1.0000000000
74 2926.0000000000 1.0000000000
89 2955.0000000000 1.0000000000
100 2975.0000000000 1.0000000000
102 3072.0000000000 1.0000000000
104 3124.0000000000 1.0000000000
122 3204.0000000000 1.0000000000
146 3260.0000000000 1.0000000000
161 3331.0000000000 1.0000000000
187 3407.0000000000 1.0000000000
191 3476.0000000000 1.0000000000
215 3506.0000000000 1.0000000000
218 3561.0000000000 1.0000000000
227 3660.0000000000 1.0000000000
266 3695.0000000000 1.0000000000
402 3739.0000000000 1.0000000000
429 3782.0000000000 1.0000000000
437 3803.0000000000 1.0000000000
527 3885.0000000000 1.0000000000
545 3938.0000000000 1.0000000000
563 3950.0000000000 1.0000000000
600 3990.0000000000 1.0000000000
651 4026.0000000000 1.0000000000
673 4035.0000000000 1.0000000000
712 4107.0000000000 1.0000000000
825 4173.0000000000 1.0000000000
840 4232.0000000000 1.0000000000
939 4295.0000000000 1.0000000000
1109 4349.0000000000 1.0000000000
1136 4444.0000000000 1.0000000000
1170 4511.0000000000 1.0000000000
1174 4527.0000000000 1.0000000000
1194 4584.0000000000 1.0000000000
1391 4631.0000000000 1.0000000000
1404 4632.0000000000 1.0000000000
1412 4638.0000000000 1.0000000000
1431 4702.0000000000 1.0000000000
1678 4707.0000000000 1.0000000000
1767 4756.0000000000 1.0000000000
1798 4830.0000000000 1.0000000000
1833 4861.0000000000 1.0000000000
2460 4869.0000000000 1.0000000000
3072 4883.0000000000 1.0000000000
3945 4942.0000000000 1.0000000000
4039 5017.0000000000 1.0000000000
6717 5048.0000000000 1.0000000000
9446 5050.0000000000 1.0000000000
evaluations raw_y evaporation_rate
1 2326.0000000000 1.0000000000
11 2333.0000000000 1.0000000000
88 2360.0000000000 1.0000000000
93 2382.0000000000 1.0000000000
99 2421.0000000000 1.0000000000
107 2492.0000000000 1.0000000000
110 2567.0000000000 1.0000000000
177 2573.0000000000 1.0000000000
192 2672.0000000000 1.0000000000
197 2700.0000000000 1.0000000000
233 2751.0000000000 1.0000000000
252 2828.0000000000 1.0000000000
259 2834.0000000000 1.0000000000
275 2889.0000000000 1.0000000000
283 2941.0000000000 1.0000000000
290 2984.0000000000 1.0000000000
329 3002.0000000000 1.0000000000
337 3046.0000000000 1.0000000000
351 3070.0000000000 1.0000000000
353 3095.0000000000 1.0000000000
414 3164.0000000000 1.0000000000
457 3257.0000000000 1.0000000000
502 3336.0000000000 1.0000000000
534 3390.0000000000 1.0000000000
548 3393.0000000000 1.0000000000
653 3483.0000000000 1.0000000000
737 3520.0000000000 1.0000000000
771 3604.0000000000 1.0000000000
780 3625.0000000000 1.0000000000
795 3686.0000000000 1.0000000000
842 3768.0000000000 1.0000000000
918 3818.0000000000 1.0000000000
921 3875.0000000000 1.0000000000
951 3945.0000000000 1.0000000000
1030 3963.0000000000 1.0000000000
