evaluations raw_y evaporation_rate
1 -1284.0000000000 1.0000000000
2 -1245.0000000000 1.0000000000
35 -1206.0000000000 1.0000000000
39 -1167.0000000000 1.0000000000
105 -1138.0000000000 1.0000000000
108 -1099.0000000000 1.0000000000
121 -1060.0000000000 1.0000000000
149 -1031.0000000000 1.0000000000
195 -1021.0000000000 1.0000000000
216 -982.0000000000 1.0000000000
226 -943.0000000000 1.0000000000
416 -904.0000000000 1.0000000000
425 -865.0000000000 1.0000000000
442 -826.0000000000 1.0000000000
514 -787.0000000000 1.0000000000
539 -758.0000000000 1.0000000000
561 -719.0000000000 1.0000000000
621 -680.0000000000 1.0000000000
673 -651.0000000000 1.0000000000
729 -612.0000000000 1.0000000000
769 -573.0000000000 1.0000000000
780 -534.0000000000 1.0000000000
786 -466.0000000000 1.0000000000
814 -457.0000000000 1.0000000000
838 -428.0000000000 1.0000000000
844 -389.0000000000 1.0000000000
982 -350.0000000000 1.0000000000
985 -321.0000000000 1.0000000000
1004 -292.0000000000 1.0000000000
1033 -273.0000000000 1.0000000000
1084 -234.0000000000 1.0000000000
1204 -205.0000000000 1.0000000000
1224 -176.0000000000 1.0000000000
1409 -147.0000000000 1.0000000000
1411 -138.0000000000 1.0000000000
1452 -119.0000000000 1.0000000000
1605 -110.0000000000 1.0000000000
1629 -81.0000000000 1.0000000000
1739 -52.0000000000 1.0000000000
1745 -43.0000000000 1.0000000000
1756 -42.0000000000 1.0000000000
1846 -33.0000000000 1.0000000000
1852 -32.0000000000 1.0000000000
2056 -22.0000000000 1.0000000000
2097 -13.0000000000 1.0000000000
2457 -12.0000000000 1.0000000000
3131 7.0000000000 1.0000000000
85501 8.0000000000 1.0000000000
100000 8.0000000000 1.0000000000
evaluations raw_y evaporation_rate
1 -1527.0000000000 1.0000000000
21 -1488.0000000000 1.0000000000
30 -1449.0000000000 1.0000000000
51 -1381.0000000000 1.0000000000
68 -1342.0000000000 1.0000000000
70 -1303.0000000000 1.0000000000
99 -1264.0000000000 1.0000000000
147 -1225.0000000000 1.0000000000
158 -1186.0000000000 1.0000000000
160 -1147.0000000000 1.0000000000
178 -1108.0000000000 1.0000000000
219 -1079.0000000000 1.0000000000
220 -1040.0000000000 1.0000000000
239 -1001.0000000000 1.0000000000
259 -972.0000000000 1.0000000000
334 -943.0000000000 1.0000000000
403 -904.0000000000 1.0000000000
462 -865.0000000000 1.0000000000
508 -826.0000000000 1.0000000000
537 -797.0000000000 1.0000000000
633 -768.0000000000 1.0000000000
750 -739.0000000000 1.0000000000
798 -671.0000000000 1.0000000000
800 -632.0000000000 1.0000000000
804 -593.0000000000 1.0000000000
828 -554.0000000000 1.0000000000
852 -544.0000000000 1.0000000000
935 -515.0000000000 1.0000000000
957 -496.0000000000 1.0000000000
1099 -457.0000000000 1.0000000000
1133 -428.0000000000 1.0000000000
1137 -389.0000000000 1.0000000000
1159 -350.0000000000 1.0000000000
1189 -340.0000000000 1.0000000000
1192 -301.0000000000 1.0000000000
1279 -262.0000000000 1.0000000000
1299 -233.0000000000 1.0000000000
1400 -204.0000000000 1.0000000000
1412 -195.0000000000 1.0000000000
1457 -166.0000000000 1.0000000000
1484 -137.0000000000 1.0000000000
1496 -128.0000000000 1.0000000000
1497 -99.0000000000 1.0000000000
1606 -90.0000000000 1.0000000000
1786 -81.0000000000 1.0000000000
1790 -72.0000000000 1.0000000000
1876 -71.0000000000 1.0000000000
1966 -52.0000000000 1.0000000000
2046 -51.0000000000 1.0000000000
2484 -32.0000000000 1.0000000000
2604 -13.0000000000 1.0000000000
2882 -4.0000000000 1.0000000000
2909 5.0000000000 1.0000000000
3149 6.0000000000 1.0000000000
3425 7.0000000000 1.0000000000
22501 8.0000000000 1.0000000000
100000 8.0000000000 1.0000000000
evaluations raw_y evaporation_rate
1 -1352.0000000000 1.0000000000
5 -1313.0000000000 1.0000000000
51 -1284.0000000000 1.0000000000
72 -1245.0000000000 1.0000000000
102 -1206.0000000000 1.0000000000
113 -1177.0000000000 1.0000000000
150 -1138.0000000000 1.0000000000
156 -1099.0000000000 1.0000000000
213 -1060.0000000000 1.0000000000
240 -1050.0000000000 1.0000000000
268 -1011.0000000000 1.0000000000
334 -972.0000000000 1.0000000000
