evaluations raw_y evaporation_rate
1 2373.0000000000 0.0100000000
4 2513.0000000000 0.0100000000
5 2574.0000000000 0.0100000000
9 2632.0000000000 0.0100000000
11 2725.0000000000 0.0100000000
21 2780.0000000000 0.0100000000
23 2805.0000000000 0.0100000000
35 3133.0000000000 0.0100000000
61 3326.0000000000 0.0100000000
94 3344.0000000000 0.0100000000
160 3365.0000000000 0.0100000000
162 3392.0000000000 0.0100000000
169 3632.0000000000 0.0100000000
191 3694.0000000000 0.0100000000
199 3765.0000000000 0.0100000000
202 3812.0000000000 0.0100000000
221 3905.0000000000 0.0100000000
248 3915.0000000000 0.0100000000
251 4007.0000000000 0.0100000000
313 4057.0000000000 0.0100000000
324 4159.0000000000 0.0100000000
344 4251.0000000000 0.0100000000
403 4340.0000000000 0.0100000000
425 4365.0000000000 0.0100000000
466 4388.0000000000 0.0100000000
485 4410.0000000000 0.0100000000
503 4411.0000000000 0.0100000000
507 4417.0000000000 0.0100000000
537 4480.0000000000 0.0100000000
563 4502.0000000000 0.0100000000
571 4578.0000000000 0.0100000000
598 4601.0000000000 0.0100000000
651 4637.0000000000 0.0100000000
680 4647.0000000000 0.0100000000
755 4669.0000000000 0.0100000000
771 4725.0000000000 0.0100000000
824 4729.0000000000 0.0100000000
859 4760.0000000000 0.0100000000
1050 4767.0000000000 0.0100000000
1083 4794.0000000000 0.0100000000
1103 4801.0000000000 0.0100000000
1352 4826.0000000000 0.0100000000
1574 4893.0000000000 0.0100000000
2300 4919.0000000000 0.0100000000
2707 5017.0000000000 0.0100000000
4228 5029.0000000000 0.0100000000
5246 5049.0000000000 0.0100000000
7486 5050.0000000000 0.0100000000
evaluations raw_y evaporation_rate
1 2570.0000000000 0.0100000000
2 2767.0000000000 0.0100000000
7 2912.0000000000 0.0100000000
12 2917.0000000000 0.0100000000
16 2923.0000000000 0.0100000000
24 2994.0000000000 0.0100000000
27 3162.0000000000 0.0100000000
58 3535.0000000000 0.0100000000
105 3542.0000000000 0.0100000000
108 3561.0000000000 0.0100000000
136 3617.0000000000 0.0100000000
168 3646.0000000000 0.0100000000
174 3690.0000000000 0.0100000000
188 3813.0000000000 0.0100000000
226 3833.0000000000 0.0100000000
237 4041.0000000000 0.0100000000
279 4113.0000000000 0.0100000000
313 4219.0000000000 0.0100000000
325 4321.0000000000 0.0100000000
393 4409.0000000000 0.0100000000
440 4467.0000000000 0.0100000000
482 4574.0000000000 0.0100000000
588 4606.0000000000 0.0100000000
680 4619.0000000000 0.0100000000
718 4625.0000000000 0.0100000000
753 4653.0000000000 0.0100000000
775 4659.0000000000 0.0100000000
819 4672.0000000000 0.0100000000
943 4714.0000000000 0.0100000000
948 4748.0000000000 0.0100000000
1031 4795.0000000000 0.0100000000
1155 4800.0000000000 0.0100000000
1529 4815.0000000000 0.0100000000
1606 4900.0000000000 0.0100000000
1867 4914.0000000000 0.0100000000
2039 4962.0000000000 0.0100000000
2388 5015.0000000000 0.0100000000
2574 5024.0000000000 0.0100000000
2853 5050.0000000000 0.0100000000
evaluations raw_y evaporation_rate
1 3145.0000000000 0.0100000000
10 3180.0000000000 0.0100000000
13 3186.0000000000 0.0100000000
33 3313.0000000000 0.0100000000
58 3401.0000000000 0.0100000000
61 3450.0000000000 0.0100000000
104 3503.0000000000 0.0100000000
115 3674.0000000000 0.0100000000
147 3706.0000000000 0.0100000000
168 3738.0000000000 0.0100000000
194 3754.0000000000 0.0100000000
195 3893.0000000000 0.0100000000
221 3935.0000000000 0.0100000000
248 3946.0000000000 0.0100000000
261 4075.0000000000 0.0100000000
301 4152.0000000000 0.0100000000
306 4164.0000000000 0.0100000000
318 4194.0000000000 0.0100000000
319 4254.0000000000 0.0100000000
359 4286.0000000000 0.0100000000
385 4342.0000000000 0.0100000000
387 4343.0000000000 0.0100000000
411 4376.0000000000 0.0100000000
417 4394.0000000000 0.0100000000
419 4438.0000000000 0.0100000000
420 4457.0000000000 0.0100000000
453 4514.0000000000 0.0100000000
503 4522.0000000000 0.0100000000
512 4552.0000000000 0.0100000000
530 4574.0000000000 0.0100000000
561 4577.0000000000 0.0100000000
